Food,Food Group,"[Colour (RGB), Day]","[Mass (g), Day]","[Temp (°C), Day]"
Apple,Fruit/Veg,"[(253, 115, 85), 0], [(240, 110, 110), 1], [(236, 105, 95), 2], [(180, 75, 65), 3], [(135, 55, 45), 4], [(130, 50, 40), 5], [(145, 60, 42), 6]","[127, 0], [126, 1], [121, 2], [119, 3], [116, 4], [113, 5], [111, 6]","[12, 0], [11, 1], [13, 2], [14, 3], [13, 4], [15, 5], [14, 6]"
Blueberry,Fruit/Veg,"[(0, 22, 168), 0], [(0, 21, 160), 1], [(15, 15, 110), 2], [(5, 5, 90), 3], [(3, 2, 76), 4], [(3, 2, 63), 5], [(6, 3, 38), 6]","[52, 0], [51, 1], [49, 2], [46, 3], [47, 4], [44, 5], [41, 6]","[10, 0], [9, 1], [10, 2], [9, 3], [11, 4], [12, 5], [11, 6]"
Cherry Tomato,Fruit/Veg,"[(210, 45, 45), 0], [(205, 42, 42), 1], [(170, 30, 15), 2], [(145, 20, 10), 3], [(140, 15, 5), 4], [(130, 10, 2), 5], [(110, 8, 2), 6]","[115, 0], [113, 1], [112, 2], [110, 3], [109, 4], [110, 5], [105, 6]","[8, 0], [7, 1], [8, 2], [9, 3], [10, 4], [11, 5], [12, 6]"
Naan Bread,Grain,"[(255, 240, 220), 0], [(252, 240, 220), 1], [(250, 230, 210), 2], [(225, 215, 195), 3], [(210, 200, 175), 4], [(210, 190, 165), 5], [(165, 145, 120), 6]","[101, 0], [99, 1], [95, 2], [92, 3], [91, 4], [92, 5], [90, 6]","[21, 0], [21, 1], [23, 2], [25, 3], [22, 4], [23, 5], [24, 6]"
Celery,Fruit/Veg,"[(235, 255, 200), 0], [(235, 250, 200), 1], [(230, 250, 190), 2], [(215, 240, 180), 3], [(200, 225, 160), 4], [(190, 215, 150), 5], [(165, 185, 130), 6]","[131, 0], [130, 1], [129, 2], [128, 3], [126, 4], [123, 5], [118, 6]","[10, 0], [10, 1], [11, 2], [10, 3], [12, 4], [12, 5], [12, 6]"
Iceberg Lettuce,Fruit/Veg,"[(165, 225, 60), 0], [(160, 215, 55), 1], [(145, 195, 50), 2], [(130, 170, 50), 3], [(125, 160, 65), 4], [(105, 135, 55), 5], [(85, 105, 45), 6]","[41, 0], [39, 1], [38, 2], [36, 3], [34, 4], [31, 5], [29, 6]","[10, 0], [10, 1], [10, 2], [11, 3], [12, 4], [12, 5], [13, 6]"
Red Grapes,Fruit/Veg,"[(80, 5, 5), 0], [(80, 5, 5), 1], [(66, 3, 3), 2], [(55, 2, 2), 3], [(55, 2, 2), 4], [(51, 3, 3), 5], [(48, 2, 3), 6]","[6, 0], [6, 1], [5, 2], [5, 3], [5, 4], [4, 5], [4, 6]","[12, 0], [11, 1], [11, 2], [10, 3], [10, 4], [11, 5], [11, 6]"
White Bread,Grain,"[(253, 252, 236), 0], [(252, 251, 235), 1], [(253, 252, 233), 2], [(232, 230, 213), 3], [(225, 222, 198), 4], [(211, 208, 181), 5], [(190, 189, 160), 6]","[66, 0], [64, 1], [61, 2], [60, 3], [58, 4], [59, 5], [56, 6]","[22, 0], [22, 1], [23, 2], [23, 3], [24, 4], [23, 5], [24, 6]"
Ground Beef,Meat,"[(120, 40, 40), 0], [(105, 35, 35), 1], [(96, 30, 30), 2], [(85, 25, 25), 3], [(77, 20, 20), 4], [(75, 30, 30), 5], [(74, 35, 35), 6]","[455, 0], [451, 1], [445, 2], [444, 3], [442, 4], [441, 5], [439, 6]","[12, 0], [12, 1], [13, 2], [12, 3], [13, 4], [13, 5], [14, 6]"
Chicken Breasts,Meat,"[(250, 235, 250), 0], [(255, 232, 250), 1], [(205, 195, 210), 2], [(190, 175, 190), 3], [(185, 175, 185), 4], [(190, 180, 190), 5], [(170, 165, 170), 6]","[251, 0], [250, 1], [245, 2], [240, 3], [230, 4], [221, 5], [208, 6]","[13, 0], [13, 1], [15, 2], [14, 3], [16, 4], [17, 5], [19, 6]"
Swiss Cheese,Dairy,"[(223, 225, 168), 0], [(220, 222, 158), 1], [(200, 205, 160), 2], [(190, 195, 150), 3], [(185, 188, 145), 4], [(165, 170, 135), 5], [(150, 150, 123), 6]","[21, 0], [20, 1], [16, 2], [16, 3], [15, 4], [14, 5], [14, 6]","[13, 0], [14, 1], [15, 2], [14, 3], [15, 4], [15, 5], [15, 6]"
Plain Yogurt,Dairy,"[(255, 255, 255), 0], [(255, 255, 255), 1], [(255, 255, 252), 2], [(240, 240, 240), 3], [(230, 230, 220), 4], [(210, 210, 200), 5], [(211, 218, 190), 6]","[651, 0], [651, 1], [650, 2], [648, 3], [647, 4], [645, 5], [640, 6]","[10, 0], [11, 1], [11, 2], [11, 3], [12, 4], [12, 5], [13, 6]"
Pineapple,Fruit/Veg,"[(250, 240, 125), 0], [(230, 220, 115), 1], [(205, 200, 100), 2], [(195, 185, 85), 3], [(185, 175, 75), 4], [(165, 155, 65), 5], [(190, 155, 65), 6]","[601, 0], [599, 1], [596, 2], [595, 3], [595, 4], [591, 5], [588, 6]","[14, 0], [15, 1], [15, 2], [15, 3], [14, 4], [14, 5], [15, 6]"
